#{"t_start": 1721925638.3024893, "env_id": "LunarLander-v2"}
r,l,t
-322.674135,114,4.297179
-104.764324,66,5.716132
-206.747214,71,7.250773
-123.299028,89,9.158302
-76.196346,64,10.536908
-139.618881,82,12.294948
-241.600811,103,14.501157
-469.663516,127,17.173914
-390.050971,86,19.003155
-170.888001,75,20.629719
-262.223831,103,22.830715
-164.834054,90,24.772427
-93.239617,93,26.765786
-330.889112,99,28.908818
-11.797975,87,30.780499
-95.920283,80,32.49179
-318.562463,108,34.769199
-384.931257,103,36.976318
-28.696029,90,38.896132
-129.246219,71,40.420809
-173.888879,105,42.674964
-230.987851,64,44.057169
-114.677074,67,45.494408
-237.125339,120,49.477593
-129.012964,65,51.015045
-152.755056,61,52.334509
-110.496032,69,53.852603
-306.37528,104,56.077794
-142.585315,68,57.543723
-170.521291,72,59.082871
-191.837198,72,60.619292
-99.098837,71,62.15638
-135.07913,59,63.435289
-120.747395,67,64.86968
-110.870568,66,66.289233
-145.47195,101,68.476953
-76.181237,60,69.758167
-131.631151,92,71.725516
-230.490346,66,73.155478
-270.254905,85,74.982611
-133.237652,107,77.269334
-170.417019,101,79.456805
-269.79191,107,81.731053
-249.356277,94,83.714284
-109.378141,60,85.01291
-178.086122,100,87.129413
-55.317769,112,89.501839
-133.570758,111,93.32035
-268.028942,120,95.87128
-209.779731,106,98.132631
-71.131717,73,99.690496
-189.182151,90,101.600944
-106.243926,81,103.34566
-85.275364,111,105.715396
-150.197464,68,107.184632
-0.123475,165,110.666614
-77.692452,70,112.165724
-84.873927,121,115.693714
-257.804151,111,118.068146
-69.968435,136,120.964243
-117.061249,83,122.757178
-114.325409,72,124.317048
-98.099941,89,126.213908
-256.791247,79,127.889979
-80.929544,73,129.446773
-267.113589,106,131.676196
-95.473476,74,133.260492
-325.425248,110,135.626076
-202.170913,97,138.790698
-357.165698,114,141.222041
-239.749768,105,143.455251
-127.228786,96,145.488685
-229.105023,81,147.208189
15.315664,134,150.048836
-249.025699,107,152.30645
-284.482789,94,154.31611
-91.990607,120,156.882919
-72.822335,81,158.612613
-58.315116,110,160.948746
-52.934202,74,162.562103
-117.343042,76,164.173738
-108.945664,93,166.153082
-75.14796,69,167.621873
-87.224353,154,170.875374
-103.880828,114,173.306402
-213.126858,94,175.300839
-154.479183,112,177.683937
-306.530346,101,179.815925
-89.667682,112,183.394081
-214.418953,129,186.147302
-311.788265,160,189.560842
-97.793129,83,191.331951
-390.102776,122,193.960583
-127.15222,86,195.805361
-155.183029,130,198.621776
-107.444874,67,200.042436
-178.478505,113,202.468845
-201.437253,134,205.331009
-93.516047,94,207.353518
-139.297547,133,210.142715
-98.694132,69,211.608309
-158.058197,138,214.536741
-320.90907,96,216.618623
-57.458206,92,218.584182
-254.840281,135,221.492087
-131.345266,79,223.20297
-177.358184,102,225.362641
-100.694611,116,228.977964
-209.799677,118,231.47518
-120.640082,95,233.49222
-171.590704,120,236.072642
-108.920573,115,238.536551
-99.908401,84,240.329724
-71.576638,93,242.303824
-120.492271,136,245.182959
-60.909767,116,247.675125
-101.874341,62,249.01364
-70.565383,73,250.582012
-106.676026,88,252.470538
-209.919888,101,254.637722
-100.343954,86,256.483784
-116.578057,153,259.720888
-90.618778,81,261.468071
-86.564447,126,264.140649
-192.93579,100,266.297339
-82.302625,74,267.90571
-66.134743,114,270.319123
-117.17952,123,274.128678
-33.623576,97,276.184663
-127.620034,123,278.799329
58.957805,1000,299.838581
-99.144601,124,302.463856
-52.265753,92,304.436906
-60.249697,85,306.249625
-18.126452,136,309.162075
-25.611297,77,310.802499
-5.69544,108,313.102131
-32.128368,70,314.603257
-72.843108,102,317.933307
-100.062827,85,319.767237
-148.820673,147,322.870631
-198.633296,100,324.980856
-115.958235,190,329.00165
-428.103871,156,332.32275
-116.27336,160,335.708807
-87.618793,74,337.359306
-75.412623,110,339.742345
-267.049428,116,342.183585
-123.556487,149,345.361892
-96.400034,142,348.404904
-82.809441,171,352.049607
-69.672393,198,356.21377
-105.857395,93,358.185702
-178.497143,116,360.647798
-126.3499,89,363.667207
12.799136,131,366.434231
-101.684198,134,369.269554
-84.104751,108,371.540767
-30.464906,124,374.176856
-63.243061,79,375.875021
-38.23636,104,378.116227
-77.195604,123,380.709317
-40.894372,96,382.751839
-164.884516,124,385.378743
-59.370318,158,388.734559
-68.659423,88,390.638276
-116.187969,121,393.20993
-98.176106,148,396.363633
-66.519049,131,399.137887
-55.271295,107,401.390788
-105.533543,95,403.391878
-37.239788,157,407.839262
-207.670319,216,412.418142
-88.746979,160,415.799398
-79.913584,134,418.651025
-82.202002,124,421.271935
-57.960775,100,423.411966
-58.010345,113,425.834934
-189.660796,214,430.315053
-34.763699,94,432.325377
-61.795385,115,434.910876
-186.517021,140,437.936285
-72.030556,215,442.477443
-122.672711,129,445.261878
-130.684676,110,447.59564
-145.364477,122,450.203134
-32.492159,118,453.772349
-84.240488,190,457.847056
-45.849119,81,459.582429
-82.378471,82,461.347335
-106.161092,112,463.727075
15.408346,194,467.841514
14.905925,174,471.701891
-63.080056,157,475.129354
-50.575001,174,478.852338
-60.225312,162,482.288965
-47.251757,148,485.518176
-37.76765,120,488.064718
-57.698471,176,491.894222
-52.491059,102,494.092038
-20.857284,96,497.479396
-26.082415,210,501.911866
-98.014307,255,507.317795
-25.369175,193,511.414252
-26.911611,200,515.633932
-60.57332,224,520.447593
-37.102432,163,524.031105
-33.831173,141,527.008729
-18.001598,166,530.52548
-12.841634,119,533.04513
-94.750779,109,535.399224
-42.645838,126,538.069004
-68.356108,146,542.416351
-158.615008,147,545.518203
-29.89304,195,549.604799
43.208201,152,552.833729
-71.768893,351,560.200709
-92.445262,200,564.395256
11.797379,107,566.664932
-155.966137,214,571.206802
-44.28949,332,578.229713
-50.568601,254,583.592771
-205.465293,239,589.82894
-245.574382,144,592.895861
-11.590024,125,595.533758
-49.84486,134,598.381467
-28.296249,129,601.155171
-51.534399,204,605.488192
-48.451102,190,609.509018
-25.195526,131,612.279928
-189.493154,226,617.087601
22.080336,177,620.808316
-0.659451,104,622.997444
-45.747599,238,628.039445
-40.600613,188,633.426615
-69.229215,213,637.909821
-57.776827,222,642.558539
-87.354849,158,645.879104
-37.495886,181,649.68465
5.888488,232,654.562536
-47.326129,161,657.948044
-109.334772,288,663.978996
-152.074387,191,667.969134
-151.833997,247,673.150944
-41.039729,209,678.58638
11.118386,179,682.353437
-20.750103,192,686.365199
-71.766309,163,689.80554
-166.097221,266,695.397201
-23.436437,197,699.564958
-69.469908,248,704.778965
15.942981,205,709.089354
-19.434295,205,713.487065
-42.694874,185,717.349789
-247.215206,314,725.19638
-197.386143,281,731.107185
-103.475853,284,737.084857
-181.473999,316,743.727054
18.306298,261,749.275779
19.177631,207,753.66085
-1.026962,154,756.922233
